Brand,Model,Condition,Location,RAM,ROM,Price
2,34,10.0,82,4,128,24000
2,34,10.0,57,4,64,22000
2,34,10.0,23,4,64,16000
2,34,10.0,94,4,64,28000
2,34,10.0,45,4,64,29000
2,34,10.0,57,4,64,14500
2,35,10.0,57,6,128,86000
2,35,9.0,28,8,128,60000
2,35,9.0,46,6,128,84500
2,35,10.0,45,6,128,55000
2,35,9.0,70,6,128,92999
2,35,9.0,45,6,256,87000
2,35,10.0,36,6,128,60000
2,35,10.0,45,8,128,60000
2,35,9.0,110,6,128,76500
2,35,10.0,35,6,128,60000
2,35,10.0,57,6,128,62500
2,35,10.0,29,6,128,75000
2,35,10.0,20,6,128,65000
2,35,9.0,45,6,256,94500
2,35,9.0,70,6,128,92999
2,35,10.0,73,8,128,51500
2,35,10.0,45,8,128,54999
2,35,10.0,28,6,128,65000
2,35,9.0,45,8,256,98000
2,35,9.0,70,6,128,92999
2,35,10.0,57,8,128,75000
2,35,9.0,70,6,128,92999
2,35,10.0,36,6,128,70000
2,35,10.0,36,6,128,55000
2,35,9.0,28,6,128,72000
2,35,9.0,45,8,128,86500
2,35,10.0,89,8,128,52000
2,35,10.0,64,6,128,55000
2,35,10.0,89,6,128,52000
2,35,9.0,45,8,128,80999
2,35,9.0,45,6,128,81999
2,35,9.0,45,6,128,79999
2,37,10.0,57,8,128,70000
2,37,10.0,57,8,128,67000
2,37,10.0,18,8,128,42000
2,37,10.0,57,8,128,69000
2,37,10.0,57,8,128,42500
2,37,9.0,45,8,128,70000
2,37,10.0,36,8,128,38000
2,37,10.0,23,8,128,31500
2,37,10.0,103,8,128,42500
2,37,10.0,64,8,128,41500
2,37,10.0,57,8,128,70000
2,37,10.0,79,8,128,45900
2,37,10.0,57,8,128,70000
2,37,10.0,89,8,128,50000
2,37,10.0,57,8,256,80000
2,37,10.0,106,8,128,75000
2,37,10.0,55,8,128,42000
2,37,10.0,45,8,128,79500
2,37,10.0,62,8,128,42000
2,37,10.0,45,8,128,68500
2,37,10.0,89,8,128,38000
2,37,10.0,78,8,128,38000
2,37,10.0,57,8,128,48000
2,37,9.0,62,8,128,72000
2,37,10.0,57,8,128,23000
